2025-11-19 09:30:01,936 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.523
2025-11-19 09:30:01,939 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.295
2025-11-19 09:30:01,956 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.54
2025-11-19 09:30:01,961 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.286
2025-11-19 09:30:01,981 | film_recommender_cg.scorer | INFO | 'Music' rmse = 0.524
2025-11-19 09:30:01,983 | film_recommender_cg.scorer | INFO | 'Music' r-squared = 0.299
2025-11-19 09:30:02,000 | film_recommender_cg.scorer | INFO | 'Western' rmse = 0.549
2025-11-19 09:30:02,004 | film_recommender_cg.scorer | INFO | 'Western' r-squared = 0.29
2025-11-19 09:30:02,019 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.527
2025-11-19 09:30:02,024 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = 0.128
2025-11-19 09:30:02,035 | film_recommender_cg.scorer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-19 09:30:02,041 | film_recommender_cg.scorer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-19 09:30:02,060 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = 0.508
2025-11-19 09:30:02,063 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = 0.265
2025-11-19 09:30:02,077 | film_recommender_cg.scorer | INFO | 'Romance' rmse = 0.522
2025-11-19 09:30:02,081 | film_recommender_cg.scorer | INFO | 'Romance' r-squared = 0.302
2025-11-19 09:30:02,095 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.621
2025-11-19 09:30:02,100 | film_recommender_cg.scorer | INFO | 'Adventure' r-squared = -0.003
2025-11-19 09:30:02,117 | film_recommender_cg.scorer | INFO | 'War' rmse = 0.544
2025-11-19 09:30:02,120 | film_recommender_cg.scorer | INFO | 'War' r-squared = 0.265
2025-11-19 09:30:02,135 | film_recommender_cg.scorer | INFO | 'Thriller' rmse = 0.569
2025-11-19 09:30:02,139 | film_recommender_cg.scorer | INFO | 'Thriller' r-squared = 0.238
